model_id,cell_id,turn_label,cell_kind,difficulty,feedback_validity,tone,n_items,n_endpoints,mean_m1,n_m1,mean_m2,n_m2,mean_entropy_mean,n_entropy_mean,mean_length_tokens,n_length_tokens,mean_accuracy,n_accuracy,mean_non_answer_rate,n_non_answer_rate,mean_resample_invalid_rate,n_resample_invalid_rate,ci95_lower_m1,ci95_upper_m1,ci95_lower_non_answer_rate,ci95_upper_non_answer_rate
google/gemma-2-2b-it,easy__accurate__hostile,onset_washout,factorial,easy,accurate,hostile,10,10,7.934375075652497,10,0.0,3,0.09176945490970675,10,56.0,10,0.9,10,0.0,10,0.14,10,3.7714845946744027,10.975000050711243,0.0,0.0
google/gemma-2-2b-it,easy__accurate__neutral,measured,factorial,easy,accurate,neutral,10,10,6.371875043489854,10,0.04,10,0.4744541522253365,10,71.3,10,0.8,10,0.0,10,0.0,10,0.4903906982947228,10.572031140309699,0.0,0.0
google/gemma-2-2b-it,easy__accurate__neutral,onset,factorial,easy,accurate,neutral,10,10,5.137500068260124,10,0.08333333333333333,6,0.04789400807471371,10,56.2,10,0.8,10,0.0,10,0.05,10,-0.08781244479003361,9.318906398501857,0.0,0.0
google/gemma-2-2b-it,easy__accurate__neutral,onset_washout,factorial,easy,accurate,neutral,10,10,6.003125075768912,10,0.03749999999999999,8,0.025690024905259214,10,56.2,10,0.8,10,0.0,10,0.030000000000000002,10,0.34624996026424926,10.31273445984334,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__hostile,measured,factorial,easy,malfunctioning_always_fail,hostile,10,10,7.72812503548339,10,0.09999999999999999,8,0.4940696063942421,10,69.0,10,0.9,10,0.0,10,0.02,10,3.4310938658652597,10.246874998103012,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__hostile,recovery,factorial,easy,malfunctioning_always_fail,hostile,10,10,7.624999992817175,10,0.12,5,0.0712527879837616,10,66.4,10,0.9,10,0.0,10,0.07,10,3.652187367957522,10.137656357845843,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,measured,factorial,easy,malfunctioning_always_fail,neutral,10,10,5.665624924359145,10,0.13333333333333333,9,0.4006068775216454,10,73.3,10,0.8,10,0.0,10,0.02,10,0.07179663512724802,9.740703157183743,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,recovery,factorial,easy,malfunctioning_always_fail,neutral,10,10,3.624999960182726,9,0.15714285714285714,7,0.15937282718594817,10,81.3,10,0.6666666666666666,9,0.1,10,0.04,10,-2.7449650485718546,8.917361026144333,0.0,0.3
google/gemma-2-2b-it,hard__accurate__hostile,measured,factorial,hard,accurate,hostile,10,10,0.47265623148996383,8,0.09999999999999998,4,0.4457298130929871,10,182.5,10,0.375,8,0.2,10,0.16,10,-4.94970694503063,6.226562454103259,0.0,0.5
google/gemma-2-2b-it,hard__accurate__hostile,onset,factorial,hard,accurate,hostile,10,10,0.5312496980186552,2,,0,0.3904663737604722,10,255.2,10,0.5,2,0.8,10,0.63,10,-8.75000022072345,9.81249961676076,0.5,1.0
google/gemma-2-2b-it,hard__accurate__hostile,onset_washout,factorial,hard,accurate,hostile,10,10,2.2633929232168675,7,0.25,2,0.26926835988567227,10,111.3,10,0.42857142857142855,7,0.3,10,0.27,10,-3.169642851588183,7.82589292677585,0.0,0.6
google/gemma-2-2b-it,hard__accurate__neutral,measured,factorial,hard,accurate,neutral,10,10,4.914062511510565,8,0.175,4,0.4707985110235564,10,181.7,10,0.75,8,0.2,10,0.16,10,-0.4140625497417204,9.039062540003215,0.0,0.5
google/gemma-2-2b-it,hard__accurate__neutral,onset,factorial,hard,accurate,neutral,10,10,6.512499872036278,5,0.0,1,0.1707036976463324,10,235.2,10,0.8,5,0.5,10,0.29,10,3.0124998967163266,9.049999936670066,0.2,0.8
google/gemma-2-2b-it,hard__accurate__neutral,onset_washout,factorial,hard,accurate,neutral,10,10,4.708333502834042,6,0.16666666666666666,3,0.05561334792583394,10,199.7,10,0.6666666666666666,6,0.4,10,0.24,10,-1.3765624017037528,9.854427377054526,0.1,0.7
